# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.77762773192494916	-0.21829115994370557	-0.40452649651302192
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
incremental-md-incl-az-candidate	3	5	False	0.00021338383509972303	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.91688085777626327	0.91688085777626327	0.015849414816290971	2.4422085474149018	6535283.6277877549	328657.32899972517	0.91063733426769378	0.91063733426769378	6535283.6277877549	328657.32899972517	0.00074014410837384807	0.0007387181883339311	0.0028974530376313368	0.59149745416071575
raw-covariance-spherical-candidate	3	6	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.8342707669	328656.84474621061	0.90648357590608641	0.90648357590608641	6535283.8342707669	328656.84474621061				
incremental-md-incl-az-candidate	3	6	False	7.7009921517490199E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.91458185551715587	0.91458185551715587	0.0099285735092119725	4.3108362286797757	6535283.8342707669	328656.84474621061	0.90648357590608641	0.90648357590608641	6535283.8342707669	328656.84474621061	0.00043356411340709648	0.00011813648496186713	-0.042016693485003032	1.0756425543831325
raw-covariance-spherical-candidate	3	7	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.5168426847	328657.23986734904	0.91086663608617868	0.91086663608617868	6535283.5168426847	328657.23986734904				
incremental-md-incl-az-candidate	3	7	False	0.00021945725960414997	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.9173697090110764	0.9173697090110764	0.017842540245417732	2.7600609803482112	6535283.5168426847	328657.23986734904	0.91086663608617868	0.91086663608617868	6535283.5168426847	328657.23986734904	0.00077675136496433643	0.00077170339864603144	-0.0049553444049887929	0.58030254582648699
incremental-md-incl-az-candidate-selected	3	0	True	1.6185250745204272E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.64781929798004256	0.64781929798004256	0.0056406098033398846	4.8148684800574166	6535283.9434392685	328656.93540494505	0.63999521654991043	0.63999521654991043	6535283.9434392685	328656.93540494505	0.00036508289956511952	-0.00015983189521340257	-0.058192001825929651	1.0757704585307317
incremental-md-incl-az-selected	3		True	0.05871696642653456	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.64781929798004256	0.64781929798004256	0.0056406098033398846	4.8148684800574166	6535283.9434392685	328656.93540494505	0.63999521654991043	0.63999521654991043	6535283.9434392685	328656.93540494505	0.00036508289956511952	-0.00015983189521340257	-0.058192001825929651	1.0757704585307317
raw-covariance-spherical-candidate	4	0	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.6523099728	328656.7364988387	50.566884456590095	50.566884456590095	6535283.6523099728	328656.7364988387				
incremental-md-incl-az-candidate	4	0	False	5.1200865705869347E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	50.576317272668803	50.576317272668803	0.012463842060659879	3.3318123443093923	6535283.6523099728	328656.7364988387	50.566884456590095	50.566884456590095	6535283.6523099728	328656.7364988387	0.00026483831758757694	0.00023972649206421837	-0.0090314385001288855	1.428360739120758
raw-covariance-spherical-candidate	4	1	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.5070805326	328657.50522365136	50.570049417027569	50.570049417027569	6535283.5070805326	328657.50522365136				
